ID,LABEL,has_obo_namespace,SubClass Of,definition,hasDbXref,comment,hasExactSynonym,has_narrow_synonym,hasRelatedSynonym,created_by,creation_date,in_subset,has_alternative_id
UO:0000081,square centimeter,unit.ontology,area unit,An area unit which is equal to one ten thousandth of a square meter or 10^[-4] m^[2].,,,cm^[2]|square centimetre,,,george gkoutos,,obo:uo#unit_slim,
UO:0000082,square millimeter,unit.ontology,area unit,An area unit which is equal to one millionth of a square meter or 10^[-6] m^[2].,,,mm^[2]|square millimetre,,,george gkoutos,,obo:uo#unit_slim,
UO:0000083,kilogram per cubic meter,unit.ontology,mass density unit,A mass unit density which is equal to mass of an object in kilograms divided by the volume in cubic meters.,,,kg/m^[3]|kilogram per cubic metre,,,george gkoutos,,obo:uo#unit_slim,
UO:0000084,gram per cubic centimeter,unit.ontology,mass density unit,A mass unit density which is equal to mass of an object in grams divided by the volume in cubic centimeters.,,,g/cm^[3]|gram per cubic centimetre,,,george gkoutos,,obo:uo#unit_slim,
UO:0000085,candela per square meter,unit.ontology,luminance unit,A luminance unit which is equal to a luminous intensity of one candela radiating from a surface whose area is one square meter.,,,candela per square metre|cd/m^[2],,,george gkoutos,,obo:uo#unit_slim,
UO:0000086,kilogram per square meter,unit.ontology,area density unit,An area density unit which is equal to the mass of an object in kilograms divided by the surface area in meters squared.,,,Body Mass Index (BMI)|kg/m^[2]|kilogram per square metre,,,george gkoutos,,obo:uo#unit_slim,
UO:0000087,kilogram per mole,unit.ontology,molar mass unit,A molar mass unit which is equal to one kilogram of mass of one mole of chemical element or chemical compound.,,,kg/mol,,,george gkoutos,,obo:uo#unit_slim,
UO:0000088,gram per mole,unit.ontology,molar mass unit,A molar mass unit which is equal to one gram of mass of one mole of chemical element or chemical compound.,,,g/mol,,,george gkoutos,,obo:uo#unit_slim,
UO:0000089,cubic meter per mole,unit.ontology,molar volume unit,"A molar volume unit which is equal to 1 cubic meter occupied by one mole of a substance in the form of a solid, liquid, or gas.",,,cubic metre per mole|m^[3]/mol,,,george gkoutos,,obo:uo#unit_slim,
UO:0000090,cubic centimeter per mole,unit.ontology,molar volume unit,"A molar volume unit which is equal to 1 cubic centimeter occupied by one mole of a substance in the form of a solid, liquid, or gas.",,,cm^[3]/mol|cubic centimetre per mole,,,george gkoutos,,obo:uo#unit_slim,
UO:0000091,kilogram meter per second,unit.ontology,momentum unit,A momentum unit which is equal to the momentum of a one kilogram mass object with a speed of one meter per second.,,,kg.m/s|kilogram metre per second,,,george gkoutos,,obo:uo#unit_slim,
UO:0000092,turns per second,unit.ontology,rotational frequency unit,A rotational frequency unit which is equal to the number complete turn in a period of time that equals to 1 second.,,,1/s,one turn per second,,george gkoutos,,obo:uo#unit_slim,
UO:0000093,cubic meter per kilogram,unit.ontology,specific volume unit,A specific volume unit which is equal to one cubic meter volume occupied by one kilogram of a particular substance.,,,cubic metre per kilogram|m^[3]/kg,,,george gkoutos,,obo:uo#unit_slim,
UO:0000094,meter per second,unit.ontology,speed/velocity unit,A speed/velocity unit which is equal to the speed of an object traveling 1 meter distance in one second.,,,m/s|metre per second,,,george gkoutos,,obo:uo#unit_slim,
UO:0000095,volume unit,unit.ontology,obo:uo#is_unit_of some PATO:0001710|unit,"A unit which is a standard measure of the amount of space occupied by any substance, whether solid, liquid, or gas.",,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000096,cubic meter,unit.ontology,volume unit,A volume unit which is equal to the volume of a cube with edges one meter in length. One cubic meter equals to 1000 liters.,,,cubic metre|m^[3],,,george gkoutos,,obo:uo#unit_slim,
UO:0000097,cubic centimeter,unit.ontology,volume unit,"A volume unit which is equal to one millionth of a cubic meter or 10^[-9] m^[3], or to 1 ml.",,,cc|cm^3|cubic centimetre,,,george gkoutos,,obo:uo#unit_slim,
UO:0000098,milliliter,unit.ontology,volume unit,"A volume unit which is equal to one thousandth of a liter or 10^[-3] L, or to 1 cubic centimeter.",,,millilitre|ml,,,george gkoutos,,obo:uo#unit_slim,
UO:0000099,liter,unit.ontology,volume unit,"A volume unit which is equal to one thousandth of a cubic meter or 10^[-3] m^[3], or to 1 decimeter.",,,L|l|litre,,,george gkoutos,,obo:uo#unit_slim,
UO:0000100,cubic decimeter,unit.ontology,volume unit,"A volume unit which is equal to one thousand of a cubic meter or 10^[-3] m^[3], or to 1 L.",,,cubic decimetre|dm^[3],,,george gkoutos,,obo:uo#unit_slim,
UO:0000101,microliter,unit.ontology,volume unit,A volume unit which is equal to one millionth of a liter or 10^[-6] L.,,,microlitre|ul,,,george gkoutos,,obo:uo#unit_slim,
UO:0000102,nanoliter,unit.ontology,volume unit,A volume unit which is equal to one thousandth of one millionth of a liter or 10^[-9] L.,,,nanolitre|nl,,,george gkoutos,,obo:uo#unit_slim,
UO:0000103,picoliter,unit.ontology,volume unit,A volume unit which is equal to 10^[-12] L.,,,picolitre|pl,,,george gkoutos,,obo:uo#unit_slim,
UO:0000104,femtoliter,unit.ontology,volume unit,A volume unit which is equal to 10^[-15] L.,,,femtolitre|fl,,,george gkoutos,,obo:uo#unit_slim,
UO:0000105,frequency unit,unit.ontology,obo:uo#is_unit_of some PATO:0000044|unit,A unit which is a standard measure of the number of repetitive actions in a particular time.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000106,hertz,unit.ontology,frequency unit,A frequency unit which is equal to 1 complete cycle of a recurring phenomenon in 1 second.,,,Hz|s^1,,,george gkoutos,,obo:uo#unit_slim,
UO:0000107,force unit,unit.ontology,obo:uo#is_unit_of some PATO:0001035|unit,A unit which is a standard measure of the force is applied when a mass is accelerated.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000108,newton,unit.ontology,force unit,A force unit which is equal to the force required to cause an acceleration of 1m/s2 of a mass of 1 Kg in the direction of the force.,,,N,,,george gkoutos,,obo:uo#unit_slim,
UO:0000109,pressure unit,unit.ontology,obo:uo#is_unit_of some PATO:0001025|unit,A unit which is a standard measure of the force applied to a given area.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000110,pascal,unit.ontology,pressure unit,A pressure unit which is equal to the pressure or stress on a surface caused by a force of 1 newton spread over a surface of 1 m^[2].,,,Pa,,,george gkoutos,,obo:uo#unit_slim,
UO:0000111,energy unit,unit.ontology,obo:uo#is_unit_of some PATO:0001021|obo:uo#is_unit_of some PATO:0001026|unit,"A unit which is a standard measure of the work done by a certain force (gravitational, electric, magnetic, force of inertia, etc).",,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000112,joule,unit.ontology,energy unit,An energy unit which is equal to the energy required when a force of 1 newton moves an object 1 meter in the direction of the force.,,,J,,,george gkoutos,,obo:uo#unit_slim,
UO:0000113,power unit,unit.ontology,obo:uo#is_unit_of some PATO:0001024|unit,A unit which is a standard measure power or the rate of doing work.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000114,watt,unit.ontology,power unit,A power unit which is equal to the power used when work is done at the rate of 1 joule per second.,,,W,,,george gkoutos,,obo:uo#unit_slim,
UO:0000115,illuminance unit,unit.ontology,light unit,A unit which is a standard measure of the luminous flux incident on a unit area.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000116,lux,unit.ontology,illuminance unit,An illuminance unit which is equal to the illuminance produced by 1 lumen evenly spread over an area 1 m^[2].,,,lx,,,george gkoutos,,obo:uo#unit_slim,
UO:0000117,luminous flux unit,unit.ontology,light unit|obo:uo#is_unit_of some PATO:0001296,A unit which is a standard measure of the flow of radiant energy.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000118,lumen,unit.ontology,luminous flux unit,A luminous flux unit which is equal to the luminous flux emitted into 1 steradian by a point source of 1 candela.,,,lm,,,george gkoutos,,obo:uo#unit_slim,
UO:0000119,catalytic activity unit,unit.ontology,obo:uo#is_unit_of some PATO:0001414|unit,A unit which is a standard measure of the amount of the action of a catalyst.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000120,katal,unit.ontology,catalytic activity unit,"A catalytic unit activity which is equal to the activity of a catalyst in moles per second, such as the amount of an enzyme needed to transform one mole of substrate per second.",,,kat,,,george gkoutos,,obo:uo#unit_slim,
UO:0000121,angle unit,unit.ontology,obo:uo#is_unit_of some PATO:0000133|unit,A unit which is a standard measure of the figure or space formed by the junction of two lines or planes.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000122,plane angle unit,unit.ontology,angle unit,A unit which is a standard measure of the angle formed by two straight lines in the same plane.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000123,radian,unit.ontology,plane angle unit,"A plane angle unit which is equal to the angle subtended at the center of a circle by an arc equal in length to the radius of the circle, approximately 57 degrees 17 minutes and 44.6 seconds.",,,rad,,,george gkoutos,,obo:uo#unit_slim,
UO:0000124,solid angle unit,unit.ontology,angle unit,A unit which is a standard measure of the angle formed by three or more planes intersecting at a common point.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000125,steradian,unit.ontology,solid angle unit,A solid angle unit which is equal to the solid angle subtended at the center of a sphere by an area on the surface of the sphere that is equal to the radius squared.,,,sr,,,george gkoutos,,obo:uo#unit_slim,
UO:0000126,,,,,,,,,,,,,
UO:0000127,radiation unit,unit.ontology,unit,A unit which is a standard measure of the amount of radiation emitted by a given radiation source as well as the amount of radiation absorbed or deposited in a specific material by a radiation source.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000128,activity (of a radionuclide) unit,unit.ontology,obo:uo#is_unit_of some PATO:0001740|radiation unit,A unit which is a standard measure of the transformation (disintegration) rate of a radioactive substance.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000129,absorbed dose unit,unit.ontology,obo:uo#is_unit_of some PATO:0001745|radiation unit,A unit which is a standard measure of the energy imparted by ionizing radiation to unit mass of matter such as tissue.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000130,dose equivalent unit,unit.ontology,obo:uo#is_unit_of some PATO:0001746|radiation unit,A unit which is a standard measure of the expression of dose in terms of its biological effect.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000131,exposure unit,unit.ontology,obo:uo#is_unit_of some PATO:0001744|radiation unit,A unit which is a standard measure of the quantity that expresses the ability of radiation to ionize air and thereby create electric charges which can be collected and measured.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000132,becquerel,unit.ontology,activity (of a radionuclide) unit,An activity (of a radionuclide) unit which is equal to the activity of a quantity of radioactive material in which one nucleus decays per second or there is one atom disintegration per second (dps).,,,Bq,,,george gkoutos,,obo:uo#unit_slim,
