ID,LABEL,comment,symbol,alternative label,alternative symbol,Type,longcomment
http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-39F,British thermal unit (39 °F),,Btu,39 °F British thermal unit,,singular unit|unit,
http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-59F,British thermal unit (59 °F),,Btu,59 °F British thermal unit,,singular unit|unit,
http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-60F,British thermal unit (60 °F),,Btu,60 °F British thermal unit,,singular unit|unit,
http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-InternationalTable,British thermal unit (International Table),,Btu_IT,International Table British thermal unit,,singular unit|unit,
http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-Mean,British thermal unit (mean),,Btu,mean British thermal unit,,singular unit|unit,
http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-Thermochemical,British thermal unit (thermochemical),,Btu_th,thermochemical British thermal unit,,singular unit|unit,
http://www.ontology-of-units-of-measure.org/resource/om-2/BudStadium,bud stadium,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BudStadium,bud stadium,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BudStadiumDay0,bud stadium day 0,Knopstadium vaasdag 0 (start vaasleven) (code).,,sday0,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BudStadiumDay0,bud stadium day 0,Knopstadium vaasdag 0 (start vaasleven) (code).,,sday0,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BudStadiumDay4,bud stadium day 4,Knopstadium vaasdag 4 (code).,,sday4,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BudStadiumDay4,bud stadium day 4,Knopstadium vaasdag 4 (code).,,sday4,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BudStadiumDay7,bud stadium day 7,Knopstadium vaasdag 7 (code).,,sday7,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BudStadiumDay7,bud stadium day 7,Knopstadium vaasdag 7 (code).,,sday7,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BulkModulus,bulk modulus,Bulk modulus is a substance's resistance to uniform compression.,K,,κ,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BulkModulus,bulk modulus,Bulk modulus is a substance's resistance to uniform compression.,K,,κ,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/CanadianDollar,Canadian dollar,,,,,singular unit|unit,
http://www.ontology-of-units-of-measure.org/resource/om-2/CapMass,cap mass,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/CapMass,cap mass,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/Capacitance,capacitance,Capacitance is the ability to hold electrical charge. It is a derived quantity in the International System of Units. Capacitance is electric charge divided by electric potential.,C,electric capacitance|electrische capaciteit,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/Capacitance,capacitance,Capacitance is the ability to hold electrical charge. It is a derived quantity in the International System of Units. Capacitance is electric charge divided by electric potential.,C,electric capacitance|electrische capaciteit,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CapacitanceUnit,capacitance unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CartonMass,carton mass,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/CartonMass,carton mass,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CatalyticActivity,catalytic activity,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/CatalyticActivity,catalytic activity,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CatalyticActivityConcentration,catalytic activity concentration,,,catalytic concentration,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CatalyticActivityConcentration,catalytic activity concentration,,,catalytic concentration,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/CatalyticActivityConcentrationUnit,catalytic activity concentration unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CatalyticActivityUnit,catalytic activity unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CauseEndOfVaseLifeAbscisedBuds,cause end of vase life abscised buds,Oorzaak einde vaasleven knopval (1/0).,,abscised buds,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/CauseEndOfVaseLifeAbscisedBuds,cause end of vase life abscised buds,Oorzaak einde vaasleven knopval (1/0).,,abscised buds,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CauseEndOfVaseLifeAbscisedFlowers,cause end of vase life abscised flowers,Oorzaak einde vaasleven bloemval (1/0).,,abscised flowers,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/CauseEndOfVaseLifeAbscisedFlowers,cause end of vase life abscised flowers,Oorzaak einde vaasleven bloemval (1/0).,,abscised flowers,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CauseEndOfVaseLifeAbscisedLeaves,cause end of vase life abscised leaves,Oorzaak einde vaasleven bladval (1/0).,,abscised leaves,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/CauseEndOfVaseLifeAbscisedLeaves,cause end of vase life abscised leaves,Oorzaak einde vaasleven bladval (1/0).,,abscised leaves,,Named individual,
