ID,LABEL,Type,ucumCode,description,expression,isDefinedBy
http://qudt.org/vocab/quantitykind/AmountOfSubstance,Amount of Substance,Named individual,,,,
http://qudt.org/vocab/quantitykind/AmountOfSubstanceConcentrationOfB,Amount of Substance of Concentration of B,Named individual,,,,
http://qudt.org/vocab/quantitykind/AmountOfSubstanceFractionOfB,Amount of Substance of Fraction of B,Named individual,,,,
http://qudt.org/vocab/quantitykind/AmountOfSubstancePerUnitMass,Amount of Substance per Unit Mass,Named individual,,,,
http://qudt.org/vocab/quantitykind/AmountOfSubstancePerUnitVolume,Amount of Substance per Unit Volume,Named individual,,,,
http://qudt.org/vocab/quantitykind/Angle,Angle,Named individual,,,,
http://qudt.org/vocab/quantitykind/AngularAcceleration,Angular Acceleration,Named individual,,,,
http://qudt.org/vocab/quantitykind/AngularCrossSection,Angular Cross-section,Named individual,,,,
http://qudt.org/vocab/quantitykind/AngularImpulse,Angular Impulse,Named individual,,,,
http://qudt.org/vocab/quantitykind/AngularMeasurement,,Named individual,,,,
http://qudt.org/vocab/quantitykind/AngularMomentum,Angular Momentum,Named individual,,,,
http://qudt.org/vocab/quantitykind/AngularVelocity,Angular Velocity,Named individual,,,,
http://qudt.org/vocab/quantitykind/AngularWavenumber,Angular Wavenumber,Named individual,,,,
http://qudt.org/vocab/quantitykind/Area,Area,Named individual,,,,
http://qudt.org/vocab/quantitykind/AreaAngle,Area Angle,Named individual,,,,
http://qudt.org/vocab/quantitykind/AreaPerTime,Area per Time,Named individual,,,,
http://qudt.org/vocab/quantitykind/AreaRatio,Area Ratio,Named individual,,,,
http://qudt.org/vocab/quantitykind/AreaTemperature,Area Temperature,Named individual,,,,
http://qudt.org/vocab/quantitykind/AreaThermalExpansion,Area Thermal Expansion,Named individual,,,,
http://qudt.org/vocab/quantitykind/AreaTime,Area Time,Named individual,,,,
http://qudt.org/vocab/quantitykind/AreaTimeTemperature,Area Time Temperature,Named individual,,,,
http://qudt.org/vocab/quantitykind/AtomScatteringFactor,Atom Scattering Factor,Named individual,,,,
http://qudt.org/vocab/quantitykind/AttenuationCoefficient,Attenuation Coefficient,Named individual,,,,
http://qudt.org/vocab/quantitykind/AverageLogarithmicEnergyDecrement,Average Logarithmic Energy Decrement,Named individual,,,,
http://qudt.org/vocab/quantitykind/BindingFraction,Binding Fraction,Named individual,,,,
http://qudt.org/vocab/quantitykind/BloodGlucoseLevel,Blood Glucose Level,Named individual,,,,
http://qudt.org/vocab/quantitykind/BodyMassIndex,Body Mass Index,Named individual,,,,
http://qudt.org/vocab/quantitykind/BulkModulus,Bulk Modulus,Named individual,,,,
http://qudt.org/vocab/quantitykind/CanonicalPartitionFunction,Canonical Partition Function,Named individual,,,,
http://qudt.org/vocab/quantitykind/Capacitance,Capacitance,Named individual,,,,
http://qudt.org/vocab/quantitykind/CatalyticActivity,Catalytic Activity,Named individual,,,,
http://qudt.org/vocab/quantitykind/CelsiusTemperature,Celsius temperature,Named individual,,,,
http://qudt.org/vocab/quantitykind/CharacteristicAcousticImpedance,Characteristic Acoustic Impedance,Named individual,,,,
http://qudt.org/vocab/quantitykind/ChemicalAffinity,Chemical Affinity,Named individual,,,,
http://qudt.org/vocab/quantitykind/CoefficientOfHeatTransfer,Coefficient of heat transfer,Named individual,,,,
http://qudt.org/vocab/quantitykind/Coercivity,Coercivity,Named individual,,,,
http://qudt.org/vocab/quantitykind/CombinedNonEvaporativeHeatTransferCoefficient,Combined Non Evaporative Heat Transfer Coefficient,Named individual,,,,
http://qudt.org/vocab/quantitykind/ComplexPower,Complex Power,Named individual,,,,
http://qudt.org/vocab/quantitykind/Compressibility,Compressibility,Named individual,,,,
http://qudt.org/vocab/quantitykind/Conductance,Conductance,Named individual,,,,
http://qudt.org/vocab/quantitykind/ConductionSpeed,Conduction Speed,Named individual,,,,
http://qudt.org/vocab/quantitykind/Conductivity,Conductivity,Named individual,,,,
http://qudt.org/vocab/quantitykind/CouplingFactor,Coupling Factor,Named individual,,,,
http://qudt.org/vocab/quantitykind/CubicElectricDipoleMomentPerSquareEnergy,Cubic Electric Dipole Moment per Square Energy,Named individual,,,,
http://qudt.org/vocab/quantitykind/CubicExpansionCoefficient,Cubic Expansion Coefficient,Named individual,,,,
http://qudt.org/vocab/quantitykind/Currency,Currency,Named individual,,,,
http://qudt.org/vocab/quantitykind/CurrentLinkage,Current Linkage,Named individual,,,,
http://qudt.org/vocab/quantitykind/Curvature,Curvature,Named individual,,,,
http://qudt.org/vocab/quantitykind/CurvatureFromRadius,Curvature,Named individual,,,,
http://qudt.org/vocab/quantitykind/DataRate,Data Rate,Named individual,,,,
http://qudt.org/vocab/quantitykind/Debye-WallerFactor,Debye-Waller Factor,Named individual,,,,
http://qudt.org/vocab/quantitykind/DecayConstant,Decay Constant,Named individual,,,,
http://qudt.org/vocab/quantitykind/DegreeOfDissociation,Degree of Dissociation,Named individual,,,,
http://qudt.org/vocab/quantitykind/Density,Density,Named individual,,,,
http://qudt.org/vocab/quantitykind/DensityOfStates,Density of states,Named individual,,,,
http://qudt.org/vocab/quantitykind/DiffusionCoefficient,Diffusion Coefficient,Named individual,,,,
http://qudt.org/vocab/quantitykind/Dimensionless,Dimensionless,Named individual,,,,
http://qudt.org/vocab/quantitykind/DimensionlessRatio,Dimensionless Ratio,Named individual,,,,
http://qudt.org/vocab/quantitykind/DisplacementCurrent,Displacement Current,Named individual,,,,
http://qudt.org/vocab/quantitykind/DisplacementCurrentDensity,Displacement Current Density,Named individual,,,,
