ontology ID,label,Type,has_obo_namespace,SubClass Of,has_prefix,is_unit_of,definition,definition cross reference,comment,exact synonym,narrow synonym,related synonym,created_by,creation date,in_subset,has_alternative_id
UO:0000184,kilogram per meter,class,unit.ontology,linear density unit,,,An area density unit which is equal to the mass of an object in kilograms divided by one meter.,NIST:NIST,,kg/m|kilogram per metre,,,george gkoutos,,unit_slim,
UO:0000185,degree,class,unit.ontology,plane angle unit,,,A plane angle unit which is equal to 1/360 of a full rotation or 1.7453310^[-2] rad.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_slim,
UO:0000186,dimensionless unit,class,unit.ontology,unit,,,A unit which is a standard measure of physical quantity consisting of only a numerical number without any units.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000187,percent,class,unit.ontology,UO:0000190,,,A dimensionless ratio unit which denotes numbers as fractions of 100.,Wikipedia:Wikipedia,,%,,,george gkoutos,,unit_group_slim,
UO:0000188,pi,class,unit.ontology,dimensionless unit,,,"A dimensionless unit which denoted an irrational real number, approximately equal to 3.14159 which is the ratio of a circle's circumference to its diameter in Euclidean geometry.",Wikipedia:Wikipedia,,,,,george gkoutos,,unit_slim,
UO:0000189,count unit,class,unit.ontology,dimensionless unit,,,A dimensionless unit which denotes a simple count of things.,MGED:MGED,,count,,,george gkoutos,,unit_group_slim,
UO:0000190,ratio,class,unit.ontology,dimensionless unit,,,A dimensionless unit which denotes an amount or magnitude of one quantity relative to another.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000191,fraction,class,unit.ontology,UO:0000190,,,A dimensionless ratio unit which relates the part (the numerator) to the whole (the denominator).,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000192,molecule count,class,unit.ontology,count unit,,,A dimensionless count unit which denotes the number of molecules.,MGED:MGED,,,,,george gkoutos,,unit_slim,
UO:0000193,purity percentage,class,unit.ontology,percent,,,A dimensionless percent unit which denotes the homogeneity of a biomaterial.,MGED:MGED,An example of a biomaterial could be an e.g. tumor biopsy.,,,,george gkoutos,,unit_slim,
UO:0000194,confluence percentage,class,unit.ontology,percent,,,"A dimensionless percent unit which denotes the density of an attached or monolayer culture (e.g., cell culture).",MGED:MGED,,,,,george gkoutos,,unit_slim,
UO:0000195,degree Fahrenheit,class,unit.ontology,temperature unit,,,A temperature unit which is equal to 5/9ths of a kelvin. Negative 40 degrees Fahrenheit is equal to negative 40 degrees Celsius.,Wikipedia:Wikipedia,"In this scale, the freezing point of water is 32 degrees Fahrenheit and the boiling point is 212 degrees, placing the boiling and freezing points of water 180 degrees apart. -40 degrees Fahrenheit is equal to -40 degrees Celsius.",F,,,george gkoutos,,unit_slim,
UO:0000196,pH,class,unit.ontology,concentration unit|dimensionless unit,,PATO:0001428,A dimensionless concentration notation which denotes the acidity of a solution in terms of activity of hydrogen ions (H+).,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_slim,
UO:0000197,liter per kilogram,class,unit.ontology,specific volume unit,,,A specific volume unit which is equal to one liter volume occupied by one kilogram of a particular substance.,NIST:NIST,,l/kg|litre per kilogram,,,george gkoutos,,unit_slim,
UO:0000198,milliliter per kilogram,class,unit.ontology,specific volume unit,,,A specific volume unit which is equal to a thousandth of a liter per kilogram or 10^[-3] l/kg.,NIST:NIST,,millilitre per kilogram|ml/kg,,,george gkoutos,,unit_slim,
