ID,LABEL,Type,SubClass Of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym
UO:0000028,millisecond,Named individual,,,"""A time unit which is equal to one thousandth of a second or 10^[-3] s."" [NIST:NIST]",ms,
UO:0000028,millisecond,Class,time unit,'second based unit' and (obo:has_prefix some milli)|{millisecond},"""A time unit which is equal to one thousandth of a second or 10^[-3] s."" [NIST:NIST]",ms,
UO:0000029,microsecond,Named individual,,,"""A time unit which is equal to one millionth of a second or 10^[-6] s."" [NIST:NIST]",us,
UO:0000029,microsecond,Class,time unit,'second based unit' and (obo:has_prefix some micro)|{microsecond},"""A time unit which is equal to one millionth of a second or 10^[-6] s."" [NIST:NIST]",us,
UO:0000030,picosecond,Class,time unit,'second based unit' and (obo:has_prefix some pico)|{picosecond},"""A time unit which is equal to 10^[-12] s."" [NIST:NIST]",ps,
UO:0000030,picosecond,Named individual,,,"""A time unit which is equal to 10^[-12] s."" [NIST:NIST]",ps,
UO:0000031,minute,Class,minute based unit|time unit,{minute},"""A time unit which is equal to 60 seconds."" [Wikipedia:Wikipedia]",min,
UO:0000031,minute,Named individual,,,"""A time unit which is equal to 60 seconds."" [Wikipedia:Wikipedia]",min,
UO:0000032,hour,Class,hour based unit|time unit,{hour},"""A time unit which is equal to 3600 seconds or 60 minutes."" [Wikipedia:Wikipedia]",h,
UO:0000032,hour,Named individual,,,"""A time unit which is equal to 3600 seconds or 60 minutes."" [Wikipedia:Wikipedia]",h,
UO:0000033,day,Class,day based unit|time unit,{day},"""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]",,
UO:0000033,day,Named individual,,,"""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]",,
UO:0000034,week,Class,time unit|week based unit,{week},"""A time unit which is equal to 7 days."" [Wikipedia:Wikipedia]",,
UO:0000034,week,Named individual,,,"""A time unit which is equal to 7 days."" [Wikipedia:Wikipedia]",,
UO:0000035,month,Class,month based unit|time unit,{month},"""A time unit which is approximately equal to the length of time of one of cycle of the moon's phases which in science is taken to be equal to 30 days."" [Wikipedia:Wikipedia]",,
UO:0000035,month,Named individual,,,"""A time unit which is approximately equal to the length of time of one of cycle of the moon's phases which in science is taken to be equal to 30 days."" [Wikipedia:Wikipedia]",,
UO:0000036,year,Class,time unit|year based unit,{year},"""A time unit which is equal to 12 months which in science is taken to be equal to 365.25 days."" [Wikipedia:Wikipedia]",,
UO:0000036,year,Named individual,,,"""A time unit which is equal to 12 months which in science is taken to be equal to 365.25 days."" [Wikipedia:Wikipedia]",,
UO:0000037,milliampere,Class,electric current unit,'ampere based unit' and (obo:has_prefix some milli)|{milliampere},"""An electric current unit current which is equal to one thousandth of an ampere or 10^[-3] A."" [UOC:GVG]",mA,
UO:0000037,milliampere,Named individual,,,"""An electric current unit current which is equal to one thousandth of an ampere or 10^[-3] A."" [UOC:GVG]",mA,
UO:0000038,microampere,Class,electric current unit,'ampere based unit' and (obo:has_prefix some micro)|{microampere},"""An electric current unit current which is equal to one millionth of an ampere or 10^[-6] A."" [UOC:GVG]",uA,
UO:0000038,microampere,Named individual,,,"""An electric current unit current which is equal to one millionth of an ampere or 10^[-6] A."" [UOC:GVG]",uA,
UO:0000039,micromole,Class,substance unit,'mole based unit' and (obo:has_prefix some micro)|{micromole},"""A substance unit equal to a millionth of a mol or 10^[-6] mol."" [NIST:NIST]",umol,
UO:0000039,micromole,Named individual,,,"""A substance unit equal to a millionth of a mol or 10^[-6] mol."" [NIST:NIST]",umol,
UO:0000040,millimole,Class,substance unit,'mole based unit' and (obo:has_prefix some milli)|{millimole},"""A substance unit equal to a thousandth of a mol or 10^[-3] mol."" [NIST:NIST]",mmol,
UO:0000040,millimole,Named individual,,,"""A substance unit equal to a thousandth of a mol or 10^[-3] mol."" [NIST:NIST]",mmol,
