ID,LABEL,Type,SubClass Of,is_unit_of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym,,,,,,,,,,,,,,,,,,
ID,A rdfs:label,TYPE,SC % SPLIT=|,SC (is_unit_of only %) SPLIT=|,EC % SPLIT=|,A rdfs:comment,A oboInOwl:hasExactSynonym SPLIT=|,A oboInOwl:hasRelatedSynonym SPLIT=|,,,,,,,,,,,,,,,,,,
UO:0000026,femtogram,class,mass unit,,('gram based unit' and ('has prefix' some femto))|{femtogram},"""A mass unit which is equal to 10^[-15] g."" [NIST:NIST]",fg,,,,,,,,,,,,,,,,,,,
UO:0000027,degree Celsius,named individual,,,,"""A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K."" [NIST:NIST]",C,,,,,,,,,,,,,,,,,,,
UO:0000027,degree Celsius,class,degree Celsius based unit|temperature unit,,{UO:0000027},"""A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K."" [NIST:NIST]",C,,,,,,,,,,,,,,,,,,,
UO:0000028,millisecond,named individual,,,,"""A time unit which is equal to one thousandth of a second or 10^[-3] s."" [NIST:NIST]",ms,,,,,,,,,,,,,,,,,,,
UO:0000028,millisecond,class,time unit,,('second based unit' and ('has prefix' some milli))|{millisecond},"""A time unit which is equal to one thousandth of a second or 10^[-3] s."" [NIST:NIST]",ms,,,,,,,,,,,,,,,,,,,
UO:0000029,microsecond,named individual,,,,"""A time unit which is equal to one millionth of a second or 10^[-6] s."" [NIST:NIST]",us,,,,,,,,,,,,,,,,,,,
UO:0000029,microsecond,class,time unit,,('second based unit' and ('has prefix' some micro))|{microsecond},"""A time unit which is equal to one millionth of a second or 10^[-6] s."" [NIST:NIST]",us,,,,,,,,,,,,,,,,,,,
UO:0000030,picosecond,class,time unit,,('second based unit' and ('has prefix' some pico))|{picosecond},"""A time unit which is equal to 10^[-12] s."" [NIST:NIST]",ps,,,,,,,,,,,,,,,,,,,
UO:0000030,picosecond,named individual,,,,"""A time unit which is equal to 10^[-12] s."" [NIST:NIST]",ps,,,,,,,,,,,,,,,,,,,
UO:0000031,minute,class,minute based unit|time unit,,{minute},"""A time unit which is equal to 60 seconds."" [Wikipedia:Wikipedia]",min,,,,,,,,,,,,,,,,,,,
UO:0000031,minute,named individual,,,,"""A time unit which is equal to 60 seconds."" [Wikipedia:Wikipedia]",min,,,,,,,,,,,,,,,,,,,
UO:0000032,hour,class,hour based unit|time unit,,{hour},"""A time unit which is equal to 3600 seconds or 60 minutes."" [Wikipedia:Wikipedia]",h,,,,,,,,,,,,,,,,,,,
UO:0000032,hour,named individual,,,,"""A time unit which is equal to 3600 seconds or 60 minutes."" [Wikipedia:Wikipedia]",h,,,,,,,,,,,,,,,,,,,
UO:0000033,day,class,day based unit|time unit,,{day},"""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000033,day,named individual,,,,"""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000034,week,class,time unit|week based unit,,{week},"""A time unit which is equal to 7 days."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000034,week,named individual,,,,"""A time unit which is equal to 7 days."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000035,month,class,month based unit|time unit,,{month},"""A time unit which is approximately equal to the length of time of one of cycle of the moon's phases which in science is taken to be equal to 30 days."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
