ID,LABEL,SubClass Of,Equivalent Class,database_cross_reference
ENVO:01001323,estuarine open water pycnocline,'adjacent to' some 'estuarine open water lower water column'|'adjacent to' some 'estuarine open water upper water column'|'composed primarily of' some 'estuarine water'|'part of' some estuary|pycnocline,,https://cmecscatalog.org/cmecs/classification/unit/601.html
ENVO:01001324,estuarine tidal riverine coastal pycnocline,'adjacent to' some 'estuarine coastal lower water column'|'adjacent to' some 'estuarine coastal upper water column'|'adjacent to' some shoreline|'composed primarily of' some 'fresh water'|'part of' some estuary|estuarine coastal pycnocline,,https://cmecscatalog.org/cmecs/classification/unit/605.html
ENVO:01001325,estuarine tidal riverine coastal lower water column,'adjacent to' some 'estuarine coastal pycnocline'|'adjacent to' some shoreline|'composed primarily of' some 'fresh water'|'part of' some estuary|estuarine coastal lower water column,,https://cmecscatalog.org/cmecs/classification/unit/606.html
ENVO:01001326,estuarine tidal riverine open water surface layer,'composed primarily of' some 'fresh water'|'part of' some estuary|estuarine open water surface layer,,https://cmecscatalog.org/cmecs/classification/unit/607.html
ENVO:01001327,estuarine tidal riverine open water upper water column,'adjacent to' some 'estuarine open water pycnocline'|'composed primarily of' some 'fresh water'|'has part' some 'estuarine tidal riverine open water surface layer'|'part of' some estuary|estuarine open water upper water column,,https://cmecscatalog.org/cmecs/classification/unit/608.html
ENVO:01001328,estuarine tidal riverine open water pycnocline,'adjacent to' some 'estuarine open water lower water column'|'adjacent to' some 'estuarine open water upper water column'|'composed primarily of' some 'fresh water'|'part of' some estuary|estuarine open water pycnocline,,https://cmecscatalog.org/cmecs/classification/unit/609.html
ENVO:01001329,estuarine tidal riverine open water lower water column,'adjacent to' some 'estuarine open water pycnocline'|'composed primarily of' some 'estuarine water'|'part of' some estuary|aquatic estuarine layer,,https://cmecscatalog.org/cmecs/classification/unit/610.html
ENVO:01001330,nitrogen cycling,'has participant' some ('chemical entity' and ('has part' some 'nitrogen atom'))|biogeochemical cycling,'biogeochemical cycling' and ('has input' some 'nitrogen atom'),
ENVO:01001331,sulfur cycling,'has participant' some ('chemical entity' and ('has part' some 'sulfur atom'))|biogeochemical cycling,'biogeochemical cycling' and ('has input' some 'sulfur atom'),
ENVO:01001332,phosphorous cycling,'has participant' some ('chemical entity' and ('has part' some 'phosphorus atom'))|biogeochemical cycling,'biogeochemical cycling' and ('has input' some 'phosphorus atom'),
ENVO:01001333,marine tidal flow process,'has part' some ('advective transport process' and ('has participant' some 'liquid water'))|'occurs in' some (ocean or sea or estuary)|tidal flow process,,https://cmecscatalog.org/cmecs/classification/unit/643.html
ENVO:01001334,advective transport process,material transport process,,
ENVO:01001335,anchor ice,'attached to' some 'submerged bed'|ice mass|partially_surrounded_by some 'liquid water',,
ENVO:01001336,marine tidal flow,'contains process' some 'marine tidal flow process'|marine current,,
ENVO:01001337,riverine anchor ice,'adjacent to' some 'river bed'|anchor ice|partially_surrounded_by some 'river water',,
ENVO:01001338,diurnal marine tidal flow zone,'contains process' some 'diurnal marine tidal flow process'|marine tidal flow zone,,https://cmecscatalog.org/cmecs/classification/unit/664.html
ENVO:01001339,diurnal marine tidal flow process,'has quality' some discontinuous|'occurs in' some 'diurnal marine tidal flow zone'|marine tidal flow process,,
